"Salary.Frequency","Salary.Range.From","Salary.Range.To","Posting.Type","Level","X..Of.Positions","Civil.Service.Title","Agency"
"Hourly",14,17,"External","02",1,"COLLEGE AIDE (ALL CITY DEPTS)","LAW DEPARTMENT"
"Hourly",14,17,"Internal","02",1,"COLLEGE AIDE (ALL CITY DEPTS)","LAW DEPARTMENT"
"Annual",63662,79899,"Internal","02",1,"CITY RESEARCH SCIENTIST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",63662,79899,"External","02",1,"CITY RESEARCH SCIENTIST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",38058,53999,"Internal","01",1,"QUALITY ASSURANCE SPECIALIST (","DEPT OF ENVIRONMENT PROTECTION"
"Annual",60000,80000,"Internal","M1",1,"CRIMINALIST ASSISTANT DIRECTOR","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",69417,97893,"Internal","00",1,"PORT MARINE ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",69417,97893,"External","00",1,"PORT MARINE ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",54740,146276,"External","M2",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",29271,45465,"External","00",1,"CITY PARK WORKER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",29271,45465,"Internal","00",1,"CITY PARK WORKER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",47251,63506,"External","02",5,"INDUSTRIAL HYGIENIST","NYC HOUSING AUTHORITY"
"Annual",47251,63506,"Internal","02",5,"INDUSTRIAL HYGIENIST","NYC HOUSING AUTHORITY"
"Hourly",35,35,"Internal","00",50,"PAINTER","NYC HOUSING AUTHORITY"
"Annual",51908,54580,"Internal","00",52,"MAINTENANCE WORKER","NYC HOUSING AUTHORITY"
"Annual",60000,80000,"External","M1",1,"CRIMINALIST ASSISTANT DIRECTOR","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",45192,61931,"External","02",1,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",45192,61931,"Internal","02",1,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",35,35,"External","00",50,"PAINTER","NYC HOUSING AUTHORITY"
"Annual",32321,53788,"External","00",2,"COMMUNITY ASSOCIATE","TAXI & LIMOUSINE COMMISSION"
"Annual",32321,53788,"Internal","00",2,"COMMUNITY ASSOCIATE","TAXI & LIMOUSINE COMMISSION"
"Annual",51908,54580,"External","00",52,"MAINTENANCE WORKER","NYC HOUSING AUTHORITY"
"Annual",49492,136198,"Internal","M1",1,"COMPUTER SYSTEMS MANAGER","ADMIN FOR CHILDREN'S SVCS"
"Annual",38277,55090,"External","01",1,"GARDENER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",49492,136198,"External","M1",1,"COMPUTER SYSTEMS MANAGER","ADMIN FOR CHILDREN'S SVCS"
"Annual",92899,102263,"External","01",1,"SUPERVISOR OF MECHANICS(MECHAN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",92899,102263,"Internal","01",1,"SUPERVISOR OF MECHANICS(MECHAN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",49492,60000,"Internal","00",1,"ADM MANAGER-NON-MGRL FRM M1/M2","DEPT OF INFO TECH & TELECOMM"
"Annual",54740,146276,"Internal","M2",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",57129,82737,"Internal","01",1,"ENVIRONMENTAL ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",57129,82737,"Internal","01",1,"CIVIL ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",40623,50572,"External","02",1,"ASSISTANT CITY ASSESSOR","LAW DEPARTMENT"
"Hourly",24,33,"External","01",1,"COMPUTER PROGRAMMER ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",75981,103007,"Internal","03",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",75981,103007,"External","03",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",87203,131623,"External","04",1,"CERT. IT ADMINISTRATOR WAN","NYC EMPLOYEES RETIREMENT SYS"
"Annual",40623,50572,"Internal","02",1,"ASSISTANT CITY ASSESSOR","LAW DEPARTMENT"
"Annual",50598,85053,"Internal","03",1,"PROCUREMENT ANALYST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",50623,75083,"Internal","02",1,"ASSOCIATE CHEMIST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",74158,74158,"External","00",30,"PLASTERER","NYC HOUSING AUTHORITY"
"Annual",87203,131623,"Internal","04",1,"CERT. IT ADMINISTRATOR WAN","NYC EMPLOYEES RETIREMENT SYS"
"Annual",56937,88649,"External","00",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",56937,88649,"Internal","00",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",38277,55090,"Internal","01",1,"GARDENER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",45174,62370,"Internal","01",1,"COMPUTER PROGRAMMER ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",74158,74158,"Internal","00",30,"PLASTERER","NYC HOUSING AUTHORITY"
"Annual",57129,82737,"Internal","01",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",57129,82737,"External","01",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",54740,146276,"Internal","00",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF ENVIRONMENT PROTECTION"
"Annual",45174,62370,"External","01",1,"COMPUTER PROGRAMMER ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",56555,68431,"Internal","01",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",56555,68431,"External","01",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",9,10,"Internal","01",1,"COLLEGE AIDE (ALL CITY DEPTS)","OFFICE OF COLLECTIVE BARGAININ"
"Annual",49492,136198,"External","M1",1,"ADMINISTRATIVE PUBLIC HEALTH N","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",49492,136198,"Internal","M1",1,"ADMINISTRATIVE PUBLIC HEALTH N","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",54740,146276,"External","00",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF ENVIRONMENT PROTECTION"
"Annual",44589,61104,"Internal","02",3,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",34644,45000,"External","00",2,"COMMUNITY ASSOCIATE","DISTRICT ATTORNEY KINGS COUNTY"
"Annual",44589,61104,"External","02",3,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",45333,54898,"External","00",2,"CONSTRUCTION PROJECT MANAGER I","DEPT OF ENVIRONMENT PROTECTION"
"Annual",45333,54898,"Internal","00",2,"CONSTRUCTION PROJECT MANAGER I","DEPT OF ENVIRONMENT PROTECTION"
"Hourly",9,10,"External","01",1,"COLLEGE AIDE (ALL CITY DEPTS)","OFFICE OF COLLECTIVE BARGAININ"
"Annual",64000,71000,"Internal","00",1,"ADM MANAGER-NON-MGRL FRM M1/M2","DEPT OF INFO TECH & TELECOMM"
"Annual",45876,68840,"Internal","00",3,"ASBESTOS HAZARD INVESTIGATOR","NYC HOUSING AUTHORITY"
"Annual",45876,68840,"External","00",3,"ASBESTOS HAZARD INVESTIGATOR","NYC HOUSING AUTHORITY"
"Annual",63662,79899,"Internal","02",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",63662,79899,"External","02",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",32086,51981,"Internal","03",1,"CLERICAL ASSOCIATE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",45174,62370,"Internal","01",1,"COMPUTER PROGRAMMER ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",45174,62370,"External","01",1,"COMPUTER PROGRAMMER ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",43292,53000,"Internal","01",1,"COMPUTER ASSOC (TECH SUPP)","DEPT OF INFO TECH & TELECOMM"
"Annual",65822,96470,"Internal","02",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",77733,95000,"Internal","03",1,"CERT. IT ADMINISTRATOR WAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",77733,95000,"External","03",1,"CERT. IT ADMINISTRATOR WAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",69085,69085,"Internal","02",1,"AGENCY ATTORNEY","NYC HOUSING AUTHORITY"
"Annual",69085,69085,"External","02",1,"AGENCY ATTORNEY","NYC HOUSING AUTHORITY"
"Annual",59743,86523,"External","01",1,"CIVIL ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",59743,86523,"Internal","01",1,"CIVIL ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",45174,62370,"External","01",1,"COMPUTER PROGRAMMER ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",45174,62370,"Internal","01",1,"COMPUTER PROGRAMMER ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",105000,120000,"External","M3",1,"ADMINISTRATIVE CITY PLANNER","NYC HOUSING AUTHORITY"
"Annual",36577,58403,"External","00",4,"INVESTIGATOR","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",26869,30899,"Internal","01",3,"CLERICAL ASSOCIATE","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",37,37,"External","00",50,"JR PHNURSE (SCH HLTH)>20 HR PT","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",37,37,"Internal","00",50,"JR PHNURSE (SCH HLTH)>20 HR PT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",89383,123773,"Internal","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPARTMENT OF TRANSPORTATION"
"Annual",50000,52460,"Internal","02",16,"FORESTER","DEPT OF PARKS & RECREATION"
"Annual",50000,52460,"External","02",16,"FORESTER","DEPT OF PARKS & RECREATION"
"Annual",50000,52460,"Internal","02",16,"FORESTER","DEPT OF PARKS & RECREATION"
"Annual",49492,100000,"Internal","M1",1,"COMPUTER SYSTEMS MANAGER","DEPT OF INFO TECH & TELECOMM"
"Hourly",33,46,"Internal","03",2,"BUSINESS PROMOTION COORDINATOR","DEPT OF INFO TECH & TELECOMM"
"Annual",115000,125000,"Internal","M2",1,"COMPUTER SYSTEMS MANAGER","DEPARTMENT OF FINANCE"
"Annual",44735,65028,"Internal","02",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",44735,65028,"External","02",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",34325,52660,"Internal","00",1,"CITY PLANNING TECHNICIAN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",49090,56453,"Internal","03",1,"FORENSIC MORTUARY TECHNICIAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",34325,52660,"External","00",1,"CITY PLANNING TECHNICIAN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",115000,125000,"External","M2",1,"COMPUTER SYSTEMS MANAGER","DEPARTMENT OF FINANCE"
"Annual",90000,105000,"Internal","M2",1,"ADMINISTRATIVE ENGINEER","NYC HOUSING AUTHORITY"
"Annual",90000,105000,"External","M2",1,"ADMINISTRATIVE ENGINEER","NYC HOUSING AUTHORITY"
"Annual",44278,60165,"Internal","01",1,"ACCOUNTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",38089,53300,"Internal","02",3,"PARALEGAL AIDE","LAW DEPARTMENT"
"Hourly",15,23,"External","00",9,"CITY PARK WORKER","DEPT OF ENVIRONMENT PROTECTION"
"Hourly",15,23,"Internal","00",9,"CITY PARK WORKER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",49090,56453,"External","03",1,"FORENSIC MORTUARY TECHNICIAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",72805,101148,"Internal","02",1,"CIVIL ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Hourly",33,46,"External","03",2,"BUSINESS PROMOTION COORDINATOR","DEPT OF INFO TECH & TELECOMM"
"Annual",49389,79013,"Internal","01",1,"MANAGEMENT AUDITOR","DEPARTMENT OF TRANSPORTATION"
"Annual",49389,79013,"Internal","01",1,"MANAGEMENT AUDITOR","DEPARTMENT OF TRANSPORTATION"
"Annual",44278,60165,"External","01",1,"ACCOUNTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",52670,67459,"Internal","02",2,"STAFF ANALYST","ADMIN FOR CHILDREN'S SVCS"
"Annual",52670,67459,"External","02",2,"STAFF ANALYST","ADMIN FOR CHILDREN'S SVCS"
"Daily",343,343,"Internal","00",2,"ELECTRICIAN","DEPARTMENT OF TRANSPORTATION"
"Daily",343,343,"Internal","00",2,"ELECTRICIAN","DEPARTMENT OF TRANSPORTATION"
"Annual",78000,90000,"Internal","00",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",68,87,"External","03",1,"CITY MEDICAL SPECIALIST (PART-","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",78000,90000,"External","00",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",44281,71555,"External","02",2,"PROCUREMENT ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",44281,71555,"Internal","02",2,"PROCUREMENT ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",40055,60611,"Internal","00",1,"RESEARCH ASSISTANT","DEPT OF INFO TECH & TELECOMM"
"Annual",58136,58136,"Internal","02",2,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",58136,58136,"External","02",2,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",57244,152969,"External","M2",1,"ADMINISTRATIVE DIRECTOR OF SOC","ADMIN FOR CHILDREN'S SVCS"
"Annual",57244,152969,"Internal","M2",1,"ADMINISTRATIVE DIRECTOR OF SOC","ADMIN FOR CHILDREN'S SVCS"
"Annual",48679,70303,"Internal","01",1,"CITY PLANNER","DEPARTMENT OF TRANSPORTATION"
"Annual",48679,70303,"External","01",1,"CITY PLANNER","DEPARTMENT OF TRANSPORTATION"
"Annual",49492,136198,"Internal","M1",2,"DIRECTOR OF FIELD OPERATIONS (","ADMIN FOR CHILDREN'S SVCS"
"Annual",68466,80000,"Internal","00",1,"ASSOCIATE STAFF ANALYST","DEPARTMENT OF FINANCE"
"Annual",54740,146276,"Internal","M2",3,"SUPERVISOR OF ELEVATOR MAINTEN","NYC HOUSING AUTHORITY"
"Annual",54740,146276,"External","M2",3,"SUPERVISOR OF ELEVATOR MAINTEN","NYC HOUSING AUTHORITY"
"Annual",54740,146276,"External","M2",1,"ADMINISTRATIVE DIRECTOR OF SOC","ADMIN FOR CHILDREN'S SVCS"
"Annual",54740,146276,"Internal","M2",1,"ADMINISTRATIVE DIRECTOR OF SOC","ADMIN FOR CHILDREN'S SVCS"
"Annual",59536,88649,"Internal","00",1,"ASSOCIATE STAFF ANALYST","FIRE DEPARTMENT"
"Annual",74478,97875,"Internal","03",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",74478,97875,"External","03",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",90000,115000,"Internal","M1",1,"HEALTH SERVICES MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",56937,88649,"External","00",1,"ADMINISTRATIVE STAFF ANALYST (","ADMIN FOR CHILDREN'S SVCS"
"Annual",56937,88649,"Internal","00",1,"ADMINISTRATIVE STAFF ANALYST (","ADMIN FOR CHILDREN'S SVCS"
"Hourly",14,17,"External","02",2,"COLLEGE AIDE (ALL CITY DEPTS)","DEPARTMENT OF FINANCE"
"Annual",90000,115000,"External","M1",1,"HEALTH SERVICES MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",51757,142430,"Internal","M1",1,"DIRECTOR OF FIELD OPERATIONS (","ADMIN FOR CHILDREN'S SVCS"
"Annual",65459,65459,"Internal","00",3,"HIGH PRESSURE PLANT TENDER","NYC HOUSING AUTHORITY"
"Annual",65459,65459,"External","00",3,"HIGH PRESSURE PLANT TENDER","NYC HOUSING AUTHORITY"
"Annual",51757,142430,"External","M1",1,"ADMINISTRATIVE PUBLIC INFORMAT","DEPARTMENT OF BUSINESS SERV."
"Hourly",14,17,"Internal","02",2,"COLLEGE AIDE (ALL CITY DEPTS)","DEPARTMENT OF FINANCE"
"Annual",49492,125000,"Internal","M1",2,"COMPUTER SYSTEMS MANAGER","DEPT OF INFO TECH & TELECOMM"
"Annual",49492,125000,"External","M1",2,"COMPUTER SYSTEMS MANAGER","DEPT OF INFO TECH & TELECOMM"
"Annual",79457,107720,"External","03",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",51757,142430,"Internal","M1",1,"ADMINISTRATIVE PUBLIC INFORMAT","DEPARTMENT OF BUSINESS SERV."
"Hourly",10,14,"External","01",11,"COLLEGE AIDE (ALL CITY DEPTS)","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",69417,97893,"External","00",1,"PORT MARINE ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",69417,97893,"Internal","00",1,"PORT MARINE ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",58721,67529,"Internal","01",2,"COMPUTER ASSOC (SOFTWARE)","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",79457,107720,"Internal","03",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Hourly",10,14,"Internal","01",11,"COLLEGE AIDE (ALL CITY DEPTS)","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",58721,67529,"External","01",2,"COMPUTER ASSOC (SOFTWARE)","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",60000,68000,"Internal","01",3,"LANDSCAPE ARCHITECT","DEPT OF PARKS & RECREATION"
"Annual",60000,68000,"External","01",3,"LANDSCAPE ARCHITECT","DEPT OF PARKS & RECREATION"
"Annual",60000,68000,"Internal","01",3,"LANDSCAPE ARCHITECT","DEPT OF PARKS & RECREATION"
"Annual",72260,98163,"Internal","01",1,"CERTIFIED IT ADMINISTRATOR LAN","ADMIN FOR CHILDREN'S SVCS"
"Annual",44735,55000,"Internal","02",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",44735,55000,"External","02",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",87203,120754,"Internal","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF ENVIRONMENT PROTECTION"
"Annual",87203,120754,"External","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF ENVIRONMENT PROTECTION"
"Annual",72260,98163,"External","01",1,"CERTIFIED IT ADMINISTRATOR LAN","ADMIN FOR CHILDREN'S SVCS"
"Annual",74478,97875,"External","03",1,"CITY RESEARCH SCIENTIST","DEPARTMENT OF TRANSPORTATION"
"Annual",74478,97875,"Internal","03",1,"CITY RESEARCH SCIENTIST","DEPARTMENT OF TRANSPORTATION"
"Annual",53130,82577,"Internal","01",1,"ASSOCIATE PUBLIC HEALTH SANITA","DEPT OF ENVIRONMENT PROTECTION"
"Annual",57497,84640,"External","02",2,"CITY PLANNER","DEPARTMENT OF TRANSPORTATION"
"Annual",78000,90000,"Internal","00",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",57497,84640,"Internal","02",2,"CITY PLANNER","DEPARTMENT OF TRANSPORTATION"
